p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,group
3.3113917647628433e-107,0.3083328161577903,0.998,0.978,7.05293331976838e-103,0,TUBA1A,all
7.913977665092522e-55,0.49179887524022264,0.671,0.533,1.6855981028880563e-50,0,SNHG18,all
1.6909534250543453e-51,0.38334178932055707,0.97,0.946,3.60156170002325e-47,0,PTX3,all
3.3666034301496773e-38,0.5805224828927085,0.437,0.32,7.170528645875797e-34,0,MSMO1,all
4.2574100556963584e-36,0.34034148796271113,0.723,0.619,9.067857677627673e-32,0,CITED2,all
6.424755668732658e-32,0.372559867981229,0.858,0.792,1.3684087098833687e-27,0,DIRAS3,all
4.543977254269102e-27,0.290267432666186,0.611,0.521,9.678217153867762e-23,0,FRMD6,all
8.606589348155656e-24,0.3016903200204084,0.791,0.717,1.8331174652636732e-19,0,KCNMA1,all
1.8137034391087928e-23,0.25563003014074914,0.706,0.62,3.8630069549578178e-19,0,HERPUD1,all
2.7561374391991815e-23,0.45646407134752115,0.392,0.304,5.870297131750336e-19,0,BDNF,all
8.546895997307585e-23,0.6229819835523085,0.276,0.196,1.8204033784665426e-18,0,INSIG1,all
1.911524559543315e-21,0.25013171190592126,0.697,0.613,4.071356159371306e-17,0,ZRANB2,all
5.652503609442783e-19,0.2646471851694298,0.646,0.569,1.2039267437752183e-14,0,PHLDA2,all
2.6034130998183892e-18,0.33024297196213626,0.52,0.444,5.545009561303187e-14,0,SNHG19,all
1.5522040831974795e-17,0.4052206737334225,0.329,0.251,3.3060394768023113e-13,0,MXD4,all
3.1339736170006507e-16,0.2871542427411638,0.527,0.454,6.675050406849686e-12,0,KRT19,all
5.268823562751853e-16,0.48030392135829003,0.312,0.244,1.1222067306305172e-11,0,TRIB3,all
1.3587741146606966e-14,0.4943093141229691,0.191,0.134,2.894052986815818e-10,0,CHAC1,all
2.7737957524411767e-14,0.3611273549568338,0.359,0.292,5.907907573124462e-10,0,SCD,all
4.976568124120759e-13,0.33674742416058545,0.354,0.29,1.0599592447564804e-8,0,RABEPK,all
5.812397311705462e-13,0.5148874164653994,0.208,0.154,1.2379825034201464e-8,0,RNF41,all
