p,avg_Log2FC,pct.1,pct.2,p_adj,cluster_my,symbol,group
0,3.0072143820743404,0.9,0.17,0,0,GZMH,all
0,2.4693937145250437,0.784,0.149,0,0,FGFBP2,all
0,1.7898166386747005,0.906,0.301,0,0,CST7,all
0,2.142608215776285,0.995,0.423,0,0,CCL5,all
0,2.097975315181946,0.995,0.446,0,0,NKG7,all
0,1.6997593820350603,0.692,0.163,0,0,GZMB,all
0,1.5551497417463445,0.805,0.323,0,0,CTSW,all
0,-3.5338906090058098,0.134,0.607,0,0,LTB,all
0,1.5938362938917467,0.82,0.384,0,0,CD3D,all
0,1.4096255829061746,0.68,0.249,0,0,GZMA,all
0,2.4055159989185415,0.599,0.17,0,0,CD8A,all
0,1.8457263984341061,0.643,0.235,0,0,C12orf75,all
0,1.6477924912115753,0.601,0.198,0,0,KLRD1,all
0,1.296649729668844,0.592,0.207,0,0,PRF1,all
0,2.1766736516293306,0.527,0.148,0,0,CD8B,all
0,1.768274820859552,0.646,0.28,0,0,CD3G,all
0,2.4550094552780406,0.458,0.116,0,0,TRGC2,all
0,1.3481973166382957,0.813,0.509,0,0,CD99,all
0,0.7511415784990696,0.997,0.971,0,0,HLA-A,all
0,1.0112559352135113,0.998,0.976,0,0,HLA-C,all
0,0.8845804750486526,1,0.993,0,0,HLA-B,all
0,0.8239025943239477,1,1,0,0,B2M,all
7.019823805614422e-302,0.45474973641742444,1,0.999,1.414985884497699e-297,0,MALAT1,all
3.609159887363919e-297,0.9854190525194735,0.933,0.548,7.274983584959452e-293,0,IL32,all
1.2769315884263656e-285,1.4138097791110305,0.655,0.295,2.573911002791025e-281,0,GNLY,all
1.052226973403116e-282,1.5007045614061978,0.622,0.263,2.1209739102886607e-278,0,GZMM,all
2.45000946656959e-276,1.1459795875030652,0.801,0.444,4.938484081764322e-272,0,CD3E,all
9.849909582359015e-271,-3.44219130440708,0.163,0.541,1.9854462745161067e-266,0,FOS,all
7.180212146592728e-264,1.287962693364628,0.745,0.457,1.4473153623886962e-259,0,PPP2R5C,all
5.516210391988883e-242,3.832874203213132,0.191,0.019,1.1119025287131991e-237,0,ZNF683,all
3.754842573871958e-239,1.4209769350317245,0.574,0.244,7.568636176153706e-235,0,LYAR,all
4.7052776362468855e-237,0.9967130892129816,0.833,0.576,9.484428131382846e-233,0,HCST,all
6.737306066989261e-235,0.7956173342360229,0.968,0.867,1.3580387839230253e-230,0,CD52,all
1.950558605534777e-231,-3.745126587270463,0.22,0.526,3.93174098117645e-227,0,HLA-DRA,all
4.438844020633634e-222,2.2549558804473486,0.285,0.062,8.947377892391216e-218,0,ADGRG1,all
2.4301784020040363e-220,-0.8168460909126796,0.784,0.905,4.898510604919536e-216,0,PABPC1,all
3.1754415954411294e-210,0.7198605540129424,0.951,0.844,6.400737623930684e-206,0,SH3BGRL3,all
1.5885745498029204e-208,2.4292107070826634,0.247,0.048,3.2020897200377464e-204,0,PRSS23,all
1.569325647679279e-201,1.022928977101968,0.753,0.517,3.163289708027123e-197,0,LITAF,all
1.4096237519908184e-200,2.269709255191739,0.282,0.068,2.8413785968878926e-196,0,C1orf21,all
1.6468307973365435e-199,1.3252869015463733,0.345,0.098,3.3195168381912707e-195,0,CCL4,all
1.6027653341611483e-192,-2.1887306534006328,0.242,0.552,3.2306940840686264e-188,0,COTL1,all
8.747619064340806e-191,-0.5023094749630088,0.989,0.991,1.7632575747991762e-186,0,RPS13,all
1.78578184493629e-187,1.6721663545953562,0.396,0.143,3.5996004648380796e-183,0,AC092580.4,all
1.0650017752732878e-180,1.4397815157834302,0.549,0.29,2.1467240784183664e-176,0,ITGB1,all
4.512064667878545e-179,-4.448623122703271,0.033,0.306,9.094968751042783e-175,0,HLA-DQB1,all
2.247348891741968e-176,-0.40626925132051905,1,0.998,4.529981161084285e-172,0,RPL13,all
5.131353060730605e-174,-0.5095938586752826,0.993,0.991,1.0343268364514681e-169,0,RPS8,all
2.953130485340204e-171,-4.721267263184441,0.031,0.292,5.952625119300249e-167,0,FCER1G,all
3.170003614964643e-170,0.7674482959892646,0.861,0.714,6.389776286684231e-166,0,CALM1,all
3.0009421924059386e-169,-1.6987066568174598,0.436,0.676,6.04899917723265e-165,0,DUSP1,all
4.399935863846156e-167,-0.4805661237893535,0.986,0.987,8.868950720754697e-163,0,RPL8,all
9.731385091611221e-166,2.0637677408003787,0.265,0.071,1.9615552929160738e-161,0,TBX21,all
1.147137831576016e-162,1.0020963695661398,0.672,0.385,2.3122857271077757e-158,0,TRAC,all
3.0035709711707404e-160,1.2078738846997767,0.575,0.308,6.054298006588862e-156,0,TRBC1,all
1.7490607912653031e-159,0.8787746772847882,0.757,0.537,3.5255818369534716e-155,0,ITGB2,all
3.3712779549851417e-157,-4.650651708720414,0.034,0.281,6.79548497386355e-153,0,AIF1,all
1.16517069327441e-156,0.5742622021276995,0.961,0.902,2.348634566433228e-152,0,PFN1,all
2.0341123080254376e-156,2.1309907166157513,0.218,0.05,4.100160179286874e-152,0,FCRL6,all
4.380541337051689e-153,-0.432042968630987,0.987,0.99,8.82985717309509e-149,0,RPS9,all
3.3301374052673837e-152,-0.33385600819421857,0.997,0.997,6.712557967797465e-148,0,RPL39,all
1.1093654289899181e-151,-2.4770839985604303,0.674,0.801,2.236147895214978e-147,0,CD74,all
9.754523200188047e-151,1.0089269772332314,0.606,0.347,1.9662192414619047e-146,0,EFHD2,all
1.104842830126298e-150,-0.4270437900684172,0.99,0.988,2.227031692685579e-146,0,RPL9,all
1.9023273627066114e-150,-4.3271595016255,0.05,0.296,3.8345212650077166e-146,0,LST1,all
6.757658644853307e-150,-2.153040488561686,0.129,0.406,1.362141253043081e-145,0,CH17-373J23.1,all
1.2618242921146413e-149,-0.39713791481999827,0.998,0.998,2.5434592256154824e-145,0,RPLP1,all
1.8424541204361913e-148,-0.3758617692942341,0.999,0.997,3.713834770563231e-144,0,RPL32,all
1.8070902088592622e-144,1.0986350569101428,0.485,0.235,3.6425517339976146e-140,0,HOPX,all
4.8374780243442616e-141,-1.2318900278910876,0.641,0.784,9.75090445367073e-137,0,JUNB,all
5.633922444081771e-139,-0.35564799092962485,0.999,0.998,1.1356297470535626e-134,0,RPL34,all
1.8399050615774646e-138,0.503577416939986,0.963,0.906,3.7086966326216953e-134,0,HLA-E,all
1.3093133424983505e-136,-3.3305915240564037,0.033,0.26,2.639182904473925e-132,0,NCF1,all
1.940752259336903e-134,-0.3452250125473597,0.997,0.996,3.911974329145396e-130,0,RPL11,all
4.5254268273100856e-133,1.3598060964320329,0.353,0.142,9.12190285580894e-129,0,MATK,all
5.637454943734124e-133,-4.603242239160326,0.014,0.223,1.1363417930084874e-128,0,SPI1,all
1.8695580527963068e-130,-6.4685377002026865,0.003,0.202,3.768468167021516e-126,0,MEF2C,all
5.360083560140087e-130,-3.996470511739534,0.019,0.229,1.0804320432174374e-125,0,HLA-DMB,all
3.6902478961309675e-129,-0.40020867497269386,0.997,0.993,7.438432684231191e-125,0,RPS23,all
1.4994842336660424e-128,-5.478730509585573,0.013,0.214,3.0225103698006416e-124,0,CD79A,all
1.1229896367289758e-126,1.6137459977826938,0.268,0.089,2.2636102107545964e-122,0,S1PR5,all
1.7748884255263866e-124,-4.988149147440991,0.014,0.211,3.5776425993335376e-120,0,HLA-DQA1,all
2.1957134717869983e-123,1.241988107052482,0.451,0.236,4.4258996450810526e-119,0,PRKCH,all
7.937980769688498e-123,0.6360591441156744,0.864,0.756,1.6000587837461104e-118,0,UBB,all
7.738122843697217e-121,-2.6147744992042377,0.139,0.371,1.559773421604048e-116,0,GPX1,all
2.3438483985512036e-120,3.2677119344419614,0.119,0.017,4.724495216959661e-116,0,PROK2,all
1.3770681803340856e-118,1.4764061424702875,0.356,0.161,2.7757563310994163e-114,0,LINC00152,all
2.34562808635086e-118,-5.088450809478285,0.021,0.213,4.728082533657429e-114,0,FCN1,all
1.5832721086701234e-117,-2.1733362000199845,0.088,0.313,3.1914015894463676e-113,0,CFP,all
4.6281928852544804e-117,0.8438764348236989,0.642,0.42,9.329048398807456e-113,0,MYO1F,all
4.133763847029572e-115,-5.253598515634749,0.005,0.186,8.332427786457509e-111,0,IFNGR2,all
1.1130808474478824e-114,0.4596222167149069,0.93,0.839,2.2436370642006965e-110,0,GAPDH,all
1.0243007213224143e-113,1.196916313769144,0.451,0.244,2.0646829639695904e-109,0,CHST12,all
1.972179826714686e-112,0.3669566604833676,0.964,0.764,3.975322876708793e-108,0,S100A4,all
1.0562555390678934e-111,-5.807090006720361,0.007,0.183,2.1290942900991527e-107,0,CSTA,all
1.1988919422068655e-111,-4.989907628685784,0.019,0.202,2.4166064879063788e-107,0,IGHM,all
1.4479837312348396e-111,-1.1145393381920687,0.965,0.97,2.918700807050066e-107,0,FTH1,all
1.1842638982711738e-110,-2.7039481234592064,0.038,0.236,2.387120739745205e-106,0,GPR183,all
3.7237106461766317e-110,-5.175131685857695,0.011,0.187,7.505883549498236e-106,0,MS4A1,all
5.72782524695176e-110,0.7108166583216957,0.707,0.476,1.1545577350280663e-105,0,ANXA1,all
9.839455172572541e-110,-4.123688732849863,0.01,0.188,1.983338979135447e-105,0,CAPG,all
1.4957943965492244e-109,1.182264091419516,0.48,0.287,3.0150727651242717e-105,0,C9orf142,all
2.492093242155067e-108,-3.870391017210169,0.026,0.21,5.023312348211969e-104,0,CD79B,all
4.206587529839838e-108,1.0772248521367382,0.606,0.441,8.479218483898162e-104,0,CALR,all
6.047049792562619e-107,1.176101130110544,0.427,0.225,1.218903826686847e-102,0,SYNE2,all
8.846948614670932e-107,-0.35017804891081905,0.993,0.992,1.7832794322592198e-102,0,RPL12,all
9.019577282865796e-107,-0.3653067008455668,0.984,0.985,1.8180761929072587e-102,0,RPL18,all
1.1871726558241003e-106,1.0065023144921428,0.561,0.372,2.392983922344639e-102,0,SUN2,all
1.8202951931930007e-106,-5.779693051527794,0.085,0.281,3.6691690209191314e-102,0,LYZ,all
2.6924542658465575e-106,-5.033147883772527,0.006,0.175,5.427180063666906e-102,0,CCR7,all
2.9525397683059795e-106,2.055045882007928,0.186,0.053,5.951434410974363e-102,0,LAG3,all
7.508920943064492e-106,1.0386673148074044,0.551,0.356,1.5135731944935096e-101,0,RARRES3,all
1.341444898236184e-105,-4.149218480927667,0.097,0.29,2.703950481374676e-101,0,CST3,all
2.782744711549191e-104,1.34720800185409,0.346,0.162,5.609178515069704e-100,0,SYTL3,all
2.853420790009009e-104,-1.43902170106828,0.162,0.397,5.751640286421159e-100,0,SELL,all
9.445595578820961e-104,2.020300492913112,0.223,0.077,1.903948700822941e-99,0,PATL2,all
1.0888736293704596e-103,-4.536315609909438,0.011,0.181,2.1948425747220353e-99,0,IRF8,all
2.004326170674915e-102,1.1312024947473658,0.44,0.245,4.0401202622294264e-98,0,CD2,all
2.3090103330525825e-102,-5.7774958058058115,0.004,0.166,4.654272128334091e-98,0,MARCKS,all
2.8369565218715346e-102,-5.511169144156845,0.082,0.277,5.7184532611364524e-98,0,S100A9,all
4.4213559050685615e-102,-5.318494812285383,0.004,0.166,8.912127097846699e-98,0,MARCH1,all
4.623523217821034e-102,0.8346532602382615,0.644,0.484,9.319635750161858e-98,0,TGFB1,all
2.5934822990766814e-101,-2.3653697057539365,0.08,0.281,5.227682270248867e-97,0,AP1S2,all
3.1541422638837176e-101,1.0939981432452135,0.443,0.253,6.357804561310409e-97,0,ABHD17A,all
5.6845306140544525e-101,1.039080245637623,0.531,0.356,1.145830835874956e-96,0,YWHAQ,all
6.243945172277272e-101,1.0516637056965679,0.612,0.424,1.2585920283759297e-96,0,TRBC2,all
1.1937226765239513e-100,1.6533243888480773,0.248,0.093,2.4061867990693284e-96,0,CEP78,all
1.711365471202762e-99,0.5139557757018589,0.903,0.834,3.449599380303407e-95,0,UBC,all
4.35356831003714e-99,-2.1805359887317906,0.08,0.278,8.775487642541862e-95,0,HLA-DMA,all
8.149884025739685e-99,-2.896799442213204,0.028,0.204,1.6427721230683485e-94,0,FAM26F,all
